"","date","id","quarter","mastatest_result","lab_result","fdat","lact"
"1",2021-11-25,13558,"FR","Klebsiella species / Serratia species","Klebsiella variicola",2021-08-09,3
"2",2021-11-25,11315,"RL","Streptococcus dysgalactiae","Streptococcus dysgalactiae",2021-09-15,3
"3",2021-11-25,21271,"FL","Streptococcus species / Unspecified","NG",2021-02-22,2
"4",2021-11-25,9996,"FR","NG","NG",2021-05-27,2
"5",2021-11-25,7266,"RL","NG","NG",2021-07-14,4
"6",2021-11-24,22684,"FL","NG","NG",2021-06-21,2
"7",2021-11-24,11426,"FL","NG","NG",2021-06-08,3
"8",2021-11-24,71678,"RR","Other Gram positive bacteria / Unspecified","Coryne pseudotuberculosis",2021-01-02,1
"9",2021-11-24,11426,"RL","Streptococcus uberis","Lactococcus garvieae",2021-06-08,3
"10",2021-11-24,22684,"FR","NG","NG",2021-06-21,2
"11",2021-11-24,9428,"RL","NG","NG",2021-09-20,4
"12",2022-03-01,22991,"FR","Streptococcus species / Unspecified","Enterococcus spp.",2021-08-07,2
"13",2022-03-01,22715,"RR","E. coli / Unspecified Gram negative","NG",2021-11-10,2
"14",2022-03-01,9680,"FL","NG","Coryne xerosis",2021-06-06,3
"15",2022-03-01,9496,"FL","Streptococcus species / Unspecified","Coryne xerosis",2021-07-02,2
"16",2022-03-02,242,"FR","Streptococcus species / Unspecified","Coryne variabile",2021-11-13,5
"17",2022-03-02,8880,"FR","NG","NG",2021-09-22,5
"18",2022-03-02,28620,"RR","E. coli / Unspecified Gram negative","E.coli",2022-01-17,1
"19",2022-03-02,42036,"RR","Streptococcus species / Unspecified","Streptococcus dysgalactiae",2021-11-25,3
"20",2022-03-02,51887,"RR","NG","NG",2021-08-04,3
"21",2022-03-02,86030,"FR","Streptococcus species / Unspecified","Coryne variabile",2021-06-23,4
"22",2022-03-04,21994,"FR","Streptococcus species / Unspecified","Lactococcus garvieae",2021-05-02,2
